id,name:vi_VN,name:en_US
viet-uc-family-clinic,Phòng khám Gia đình Việt Úc,Viet Uc Family Clinic
hotline,Hotline,Hotline
doctor-nurse,Bác sĩ/Điều dưỡng,Doctor/Nurse
walk-in-clinic,Tự đến PK,Walk-in at Clinic
viet-uc-home-care,Chăm sóc tại nhà Việt Úc,Viet Uc Home Care
dd-song-phu,ĐD Song Phú,DD Song Phu
ivie-bac-si-oi,Ivie - Bác sĩ ơi,Ivie - Bác sĩ ơi
fwd,FWD,FWD
existing-customer,Khách hàng cũ,Existing Customer
daiichi,Daiichi,Daiichi
ms-dang-thi-thuong,Ms. Đặng Thị Thương,Ms. Đặng Thị Thương
referrer,Người Giới Thiệu,Referrer
dd-truc-mai,ĐD Trúc Mai,DD Truc Mai
dd-le-dang-anh-thuong,ĐD Lê Đặng Anh Thương,DD Le Dang Anh Thuong
ms-thu,Ms.Thu,Ms.Thu
partner,Đối tác,Partner
viet-uc-home-nursing-services,Dịch Vụ Điều Dưỡng Tại Nhà Việt Úc,Viet Uc Home Nursing Services
